eventdate,series,video,site_name,site_type,starts,siteTypeStarts,nameOfDay,startOfWeek
2019-04-12,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,1344,125919,Friday,2019-04-08
2019-04-03,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1336,401920,Wednesday,2019-04-01
2019-03-31,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1330,401920,Sunday,2019-03-25
2019-04-02,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1322,401920,Tuesday,2019-04-01
2019-04-08,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1303,401920,Monday,2019-04-08
2019-04-06,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1301,401920,Saturday,2019-04-01
2019-04-07,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1299,401920,Sunday,2019-04-01
2019-04-07,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,1291,72863,Sunday,2019-04-01
2019-04-03,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1278,401920,Wednesday,2019-04-01
2019-04-07,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,1271,401920,Sunday,2019-04-01
2019-04-01,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,1262,401920,Monday,2019-04-01
2019-04-01,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1260,401920,Monday,2019-04-01
2019-04-09,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1258,401920,Tuesday,2019-04-08
2019-04-04,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,1227,72863,Thursday,2019-04-01
2019-04-01,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,1218,401920,Monday,2019-04-01
2019-04-08,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1218,401920,Monday,2019-04-08
2019-03-29,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1217,401920,Friday,2019-03-25
2019-04-07,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,1204,117071,Sunday,2019-04-01
2019-04-07,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1193,401920,Sunday,2019-04-01
2019-04-04,Blindspot,Eight Slim Grins,DirecTV Everywhere MVPD,MVPD,1190,125919,Thursday,2019-04-01
2019-04-12,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1179,401920,Friday,2019-04-08
2019-04-11,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,1178,401920,Thursday,2019-04-08
2019-04-12,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,1178,72863,Friday,2019-04-08
2019-03-31,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,1174,72863,Sunday,2019-03-25
2019-04-09,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,1157,117071,Tuesday,2019-04-08
2019-04-04,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,1155,117071,Thursday,2019-04-01
2019-04-07,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1155,401920,Sunday,2019-04-01
2019-04-09,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,1155,125919,Tuesday,2019-04-08
2019-04-01,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1150,401920,Monday,2019-04-01
2019-04-05,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,1123,401920,Friday,2019-04-01
2019-04-10,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1120,401920,Wednesday,2019-04-08
2019-04-10,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,1115,117071,Wednesday,2019-04-08
2019-04-05,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,1114,117071,Friday,2019-04-01
2019-04-09,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,1114,401920,Tuesday,2019-04-08
2019-04-12,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1114,401920,Friday,2019-04-08
2019-03-29,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1112,401920,Friday,2019-03-25
2019-04-06,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,1108,125919,Saturday,2019-04-01
2019-04-01,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1107,401920,Monday,2019-04-01
2019-04-12,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1107,401920,Friday,2019-04-08
2019-04-03,Blindspot,Eight Slim Grins,DirecTV Everywhere MVPD,MVPD,1105,125919,Wednesday,2019-04-01
2019-04-10,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,1098,125919,Wednesday,2019-04-08
2019-04-05,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1095,401920,Friday,2019-04-01
2019-04-04,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,1094,401920,Thursday,2019-04-01
2019-04-06,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1094,401920,Saturday,2019-04-01
2019-04-07,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,1094,125919,Sunday,2019-04-01
2019-04-10,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,1093,401920,Wednesday,2019-04-08
2019-04-12,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,1093,117071,Friday,2019-04-08
2019-03-31,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,1092,125919,Sunday,2019-03-25
2019-04-07,Blindspot,Eight Slim Grins,DirecTV Everywhere MVPD,MVPD,1090,125919,Sunday,2019-04-01
2019-04-08,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,1090,401920,Monday,2019-04-08
2019-04-12,Blindspot,Eight Slim Grins,DirecTV Everywhere MVPD,MVPD,1079,125919,Friday,2019-04-08
2019-04-08,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,1074,117071,Monday,2019-04-08
2019-04-09,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,1049,401920,Tuesday,2019-04-08
2019-04-03,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,1040,117071,Wednesday,2019-04-01
2019-04-02,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1035,401920,Tuesday,2019-04-01
2019-04-06,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,1007,117071,Saturday,2019-04-01
2019-03-31,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1006,401920,Sunday,2019-03-25
2019-04-02,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,983,117071,Tuesday,2019-04-01
2019-04-03,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,981,125919,Wednesday,2019-04-01
2019-04-02,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,947,401920,Tuesday,2019-04-01
2019-04-12,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,936,117071,Friday,2019-04-08
2019-04-02,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,914,117071,Tuesday,2019-04-01
2019-04-12,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,914,401920,Friday,2019-04-08
2019-04-09,Blindspot,Eight Slim Grins,Bravo FEP,Watch,908,401920,Tuesday,2019-04-08
2019-03-31,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,903,401920,Sunday,2019-03-25
2019-03-30,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,877,401920,Saturday,2019-03-25
2019-04-03,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,874,117071,Wednesday,2019-04-01
2019-03-29,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,866,125919,Friday,2019-03-25
2019-04-09,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,862,117071,Tuesday,2019-04-08
2019-04-11,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,853,117071,Thursday,2019-04-08
2019-04-05,Blindspot,Eight Slim Grins,Bravo FEP,Watch,848,401920,Friday,2019-04-01
2019-04-11,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,840,401920,Thursday,2019-04-08
2019-03-31,Blindspot,Eight Slim Grins,Bravo FEP,Watch,838,401920,Sunday,2019-03-25
2019-04-08,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,832,117071,Monday,2019-04-08
2019-03-30,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,829,401920,Saturday,2019-03-25
2019-03-30,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,828,117071,Saturday,2019-03-25
2019-04-11,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,822,72863,Thursday,2019-04-08
2019-04-09,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,821,125919,Tuesday,2019-04-08
2019-04-02,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,816,125919,Tuesday,2019-04-01
2019-04-04,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,814,401920,Thursday,2019-04-01
2019-03-31,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,811,401920,Sunday,2019-03-25
2019-04-06,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,810,117071,Saturday,2019-04-01
2019-04-03,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,803,401920,Wednesday,2019-04-01
2019-03-31,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,801,117071,Sunday,2019-03-25
2019-04-04,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,797,72863,Thursday,2019-04-01
2019-04-04,Blindspot,Eight Slim Grins,Bravo FEP,Watch,796,401920,Thursday,2019-04-01
2019-04-03,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,784,72863,Wednesday,2019-04-01
2019-03-31,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,771,401920,Sunday,2019-03-25
2019-04-03,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,753,117071,Wednesday,2019-04-01
2019-03-29,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,749,125919,Friday,2019-03-25
2019-04-05,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,743,401920,Friday,2019-04-01
2019-04-06,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,731,401920,Saturday,2019-04-01
2019-03-30,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,726,72863,Saturday,2019-03-25
2019-04-11,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,726,72863,Thursday,2019-04-08
2019-04-02,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,724,72863,Tuesday,2019-04-01
2019-04-11,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,724,401920,Thursday,2019-04-08
2019-04-08,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,722,401920,Monday,2019-04-08
2019-04-05,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,713,72863,Friday,2019-04-01
2019-04-06,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,710,401920,Saturday,2019-04-01
2019-04-08,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,710,125919,Monday,2019-04-08
2019-04-07,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,705,401920,Sunday,2019-04-01
2019-04-07,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,703,125919,Sunday,2019-04-01
2019-04-01,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,702,401920,Monday,2019-04-01
2019-04-07,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,689,117071,Sunday,2019-04-01
2019-04-10,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,682,125919,Wednesday,2019-04-08
2019-03-31,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,680,72863,Sunday,2019-03-25
2019-04-04,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,677,401920,Thursday,2019-04-01
2019-03-29,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,674,401920,Friday,2019-03-25
2019-04-10,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,665,117071,Wednesday,2019-04-08
2019-04-03,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,641,401920,Wednesday,2019-04-01
2019-04-01,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,623,401920,Monday,2019-04-01
2019-04-05,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,618,125919,Friday,2019-04-01
2019-04-07,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,612,117071,Sunday,2019-04-01
2019-04-05,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,611,401920,Friday,2019-04-01
2019-04-07,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,604,401920,Sunday,2019-04-01
2019-04-06,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,576,117071,Saturday,2019-04-01
2019-04-01,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,568,117071,Monday,2019-04-01
2019-04-02,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,564,401920,Tuesday,2019-04-01
2019-04-01,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,562,125919,Monday,2019-04-01
2019-04-02,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,550,117071,Tuesday,2019-04-01
2019-03-29,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,528,401920,Friday,2019-03-25
2019-04-12,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,522,401920,Friday,2019-04-08
2019-03-29,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,518,401920,Friday,2019-03-25
2019-04-02,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,506,125919,Tuesday,2019-04-01
2019-04-06,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,501,401920,Saturday,2019-04-01
2019-04-09,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,501,401920,Tuesday,2019-04-08
2019-04-06,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,495,401920,Saturday,2019-04-01
2019-04-09,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,495,401920,Tuesday,2019-04-08
2019-04-04,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,492,401920,Thursday,2019-04-01
2019-04-05,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,485,117071,Friday,2019-04-01
2019-04-08,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,475,117071,Monday,2019-04-08
2019-04-08,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,471,125919,Monday,2019-04-08
2019-04-08,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,467,117071,Monday,2019-04-08
2019-04-02,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,440,72863,Tuesday,2019-04-01
2019-04-01,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,437,117071,Monday,2019-04-01
2019-03-30,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,436,125919,Saturday,2019-03-25
2019-04-04,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,430,401920,Thursday,2019-04-01
2019-03-30,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,421,401920,Saturday,2019-03-25
2019-04-08,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,407,401920,Monday,2019-04-08
2019-03-30,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,393,401920,Saturday,2019-03-25
